ISO3,Country,GDPPerCapita,MobileCellSubscriptions
AFG,Afghanistan,553.973308908649,59.90264778
ALB,Albania,4431.55559506989,94.36446759
DZA,Algeria,4188.22038483483,112.4675177
AND,Andorra,39320.1109176824,110.1329103
AGO,Angola,2777.84304535304,42.49094914
ARG,Argentina,13105.397163317,131.9371685
ARM,Armenia,4215.89939440524,126.1831509
AUS,Australia,58600.7903562771,110.6519296
AUT,Austria,46154.6250956541,124.2461975
AZE,Azerbaijan,5262.36870473368,101.8436601
BHS,"Bahamas, The",30412.1328178751,96.71589874
BHR,Bahrain,23023.1197800625,140.7017898
BGD,Bangladesh,1460.30422758178,98.83168698
BRB,Barbados,17283.3779200865,117.7476331
BLR,Belarus,6165.95788671048,119.8449004
BEL,Belgium,42382.3182763247,99.9891253
BLZ,Belize,5699.06280152249,64.46818089
BEN,Benin,1111.22724747423,79.24062635
BTN,Bhutan,3079.1439631488,92.31829061
BOL,Bolivia,3219.20089192093,98.61224848
BIH,Bosnia and Herzegovina,5339.47706826984,101.7919614
BWA,Botswana,6418.70635422259,137.9300386
BRA,Brazil,8553.86590205122,99.64002652
BRN,Brunei Darussalam,29437.8651779688,130.3207192
BGR,Bulgaria,7862.86182980047,117.8397093
BFA,Burkina Faso,696.044570830807,94.83338248
BDI,Burundi,274.131908470855,54.97002994
CPV,Cabo Verde,3463.81281811327,106.8497659
KHM,Cambodia,1384.96802283531,121.1658947
CMR,Cameroon,1445.26777131721,73.59740879
CAN,Canada,44916.4741565439,89.67401709
CAF,Central African Republic,378.263077805926,25.10924907
TCD,Chad,653.349761493496,44.75798518
CHL,Chile,13904.1153384034,134.6365175
CHN,China,9619.20947506207,116.3882038
COL,Colombia,6320.99074757592,130.9211763
COM,Comoros,1383.37787194688,64.26561932
COD,"Congo, Dem. Rep.",489.382374635897,41.87818082
COG,"Congo, Rep.",1924.72432958555,91.89382514
CRI,Costa Rica,12470.9574208108,168.5386493
CIV,Cote d'Ivoire,2168.91344210728,132.6110689
HRV,Croatia,13698.0547960571,105.479914
CUB,Cuba,8047.94103064616,47.43291193
CUW,Curacao,18355.1765793615,100.9029785
CYP,Cyprus,27161.5234375,137.0450965
CZE,Czechia,19689.5827032979,120.5956604
DNK,Denmark,56563.4884729669,125.1362568
DJI,Djibouti,2714.35164845975,37.36641575
DMA,Dominica,7586.64614100055,108.4675882
DOM,Dominican Republic,7894.95519223748,83.02096599
ECU,Ecuador,5976.24534526558,92.69594524
EGY,"Egypt, Arab Rep.",3635.4205822819,90.40274284
SLV,El Salvador,4011.53997873836,150.3024373
GNQ,Equatorial Guinea,7079.65052642928,39.35997262
EST,Estonia,19611.6109936281,145.5233453
SWZ,Eswatini,3696.35985012092,89.85382979
FRO,Faroe Islands,54506.387071933,111.4552056
FJI,Fiji,5708.91097062488,110.4466178
FIN,Finland,45627.9198947233,129.6355826
FRA,France,38259.6977698474,109.5588076
PYF,French Polynesia,19471.3901061808,101.7025866
GAB,Gabon,6786.89034991238,133.692425
GMB,"Gambia, The",645.938187151588,130.1227936
GEO,Georgia,4539.00351483654,144.7181513
DEU,Germany,42928.7412368012,129.6794748
GHA,Ghana,1899.80842221694,132.601312
GRC,Greece,18647.4957207515,114.4592115
GRL,Greenland,47012.9860350276,109.767392
GRD,Grenada,9252.55403427554,97.44168486
GTM,Guatemala,4163.47630221389,121.4676927
GIN,Guinea,910.652641922598,95.6840313
GNB,Guinea-Bissau,620.771030397279,76.91042128
HTI,Haiti,1430.81877666569,59.95845963
HND,Honduras,2423.27605962903,77.49076112
HKG,"Hong Kong SAR, China",45280.4865045373,265.9712453
HUN,Hungary,14377.4241602939,102.7165638
ISL,Iceland,57697.8044237427,116.5506905
IND,India,1891.13843543192,85.90350833
IDN,Indonesia,3741.30526682049,119.6084851
IRN,"Iran, Islamic Rep.",5233.28205397474,103.6264522
IRQ,Iraq,4710.97614870841,89.9894631
IRL,Ireland,72478.8382398373,102.8335051
ISR,Israel,38744.1604404811,126.5301426
ITA,Italy,31593.4802621599,139.1884938
JAM,Jamaica,5264.19646715848,105.44623
JPN,Japan,36138.5290824719,142.4668807
JOR,Jordan,3929.68718472936,83.47869848
KAZ,Kazakhstan,11053.3604174846,140.6055713
KEN,Kenya,1604.80293212228,99.09540718
KIR,Kiribati,1459.79396188067,43.62598354
KOR,"Korea, Rep.",31059.2668087927,128.4051056
KWT,Kuwait,26664.6333151447,164.4554959
KGZ,Kyrgyz Republic,1197.61057510002,140.3591937
LAO,Lao PDR,2467.95576150974,51.54585373
LVA,Latvia,15558.4920048315,106.9512252
LBN,Lebanon,8435.63735402702,74.34556707
LSO,Lesotho,1061.43805871852,71.9803805
LTU,Lithuania,16443.5852875776,130.8936876
LUX,Luxembourg,106376.783565763,131.3674819
MAC,"Macao SAR, China",80342.5875773682,335.0574739
MDG,Madagascar,470.423898266865,39.68745918
MWI,Malawi,558.560452702602,38.52869707
MYS,Malaysia,10777.7665213518,130.908501
MDV,Maldives,10453.6355280567,175.1750865
MLI,Mali,767.571595521859,110.1396447
MLT,Malta,28177.5495393975,125.2767573
MRT,Mauritania,1628.03885516365,106.9260114
MUS,Mauritius,10652.4836886859,148.0645463
MEX,Mexico,10343.3534291048,96.89668563
MDA,Moldova,3268.42596665742,115.7581058
MCO,Monaco,178571.347957464,88.27945664
MNG,Mongolia,4242.30022157508,133.4403606
MNE,Montenegro,7381.80764032937,179.6504897
MAR,Morocco,3296.19409179688,124.1715549
MOZ,Mozambique,612.599059978703,47.83274319
MMR,Myanmar,1355.44767222938,116.0975729
NAM,Namibia,4714.45251824565,114.6990872
NPL,Nepal,1006.60690911452,137.4358818
NLD,Netherlands,47826.8191172843,122.1100816
NZL,New Zealand,40422.3457941784,130.5976242
NIC,Nicaragua,2052.14140413641,113.2267851
NGA,Nigeria,2512.08047529121,87.06722748
MKD,North Macedonia,5184.69680504137,93.16855383
NOR,Norway,76373.6241145297,107.6910276
OMN,Oman,18256.6531453301,139.9674164
PAK,Pakistan,1612.83535268155,70.07944774
PAN,Panama,14922.129988894,137.3834585
PNG,Papua New Guinea,2536.0831879568,46.09170728
PRY,Paraguay,6338.51367820775,115.4634996
PER,Peru,6530.42299765457,130.8994047
PHL,Philippines,3439.10052334951,123.9757392
POL,Poland,14408.384388723,125.3471416
PRT,Portugal,21057.6174784232,115.2549871
PRI,Puerto Rico,29687.2064763276,100.3319104
QAT,Qatar,60080.696551117,142.6223429
ROU,Romania,10778.4483512826,115.4396415
RUS,Russian Federation,9739.908203125,157.431312
RWA,Rwanda,815.034172409732,77.40789677
WSM,Samoa,4277.34201549273,47.68694475
SMR,San Marino,43277.5014149123,112.7181169
STP,Sao Tome and Principe,1406.1033821349,76.9409115
SAU,Saudi Arabia,20096.552487567,117.9691219
SEN,Senegal,1384.64207467823,106.3244864
SRB,Serbia,6261.52570046486,121.0748239
SYC,Seychelles,16110.9908609155,173.563787
SLE,Sierra Leone,617.529519430669,80.84116316
SGP,Singapore,61276.9465931259,147.3617155
SVK,Slovak Republic,17818.2341072167,132.9546485
SVN,Slovenia,23483.529124564,117.0914525
SLB,Solomon Islands,2217.81727876586,73.11789627
SOM,Somalia,543.998079911656,49.6592909
ZAF,South Africa,6253.1189963954,161.1938374
ESP,Spain,27739.8647682529,115.7483421
LKA,Sri Lanka,4495.71046284418,140.3243174
KNA,St. Kitts and Nevis,21255.1548395876,149.9005465
LCA,St. Lucia,11176.4408232232,103.9665407
VCT,St. Vincent and the Grenadines,8152.41362830624,106.8037614
SDN,Sudan,1248.95727539063,71.66925335
SUR,Suriname,8751.10760204613,126.7057876
SWE,Sweden,52983.0068617482,124.246327
CHE,Switzerland,86756.6021294513,126.7095617
SYR,Syrian Arab Republic,802.505062325787,88.60117817
TJK,Tajikistan,1116.29308856966,109.5514394
TZA,Tanzania,1012.49896240234,74.87851487
THA,Thailand,6336.23967742373,175.8777812
TLS,Timor-Leste,1256.90389911275,116.3766548
TGO,Togo,812.457589359773,76.36078188
TON,Tonga,4587.2801410509,102.6514503
TTO,Trinidad and Tobago,15716.4297308559,131.0947831
TUN,Tunisia,4070.1498157184,123.7705691
TUR,Turkiye,12148.2942496874,96.74999684
TKM,Turkmenistan,7089.94180488049,96.31801204
TUV,Tuvalu,3718.43097727405,78.2328578
UGA,Uganda,896.162531916137,58.94688705
UKR,Ukraine,2336.9765625,127.753861
ARE,United Arab Emirates,43644.1470438183,219.700673
GBR,United Kingdom,46740.5535926377,118.7527408
USA,United States,59607.3936602496,104.847944
URY,Uruguay,17440.3819389787,130.1172556
UZB,Uzbekistan,3062.48622234038,71.57614633
VUT,Vanuatu,2815.5871437955,84.57103647
VNM,Viet Nam,3090.77259500058,148.1748225
PSE,West Bank and Gaza,3417.79440837962,89.97575355
YEM,"Yemen, Rep.",1194.82056073462,49.68344957
ZMB,Zambia,1331.44924435525,86.73672801
ZWE,Zimbabwe,1462.59027890974,85.76158782
